sn,Redshift,Redshift Error,NUV Exposure Time,NUV 2kpc Luminosity,NUV 2kpc Luminosity Error,NUV 2kpc Surface Brightness,NUV 2kpc Surface Brightness Error,NUV AB Magnitude,FUV Exposure Time,FUV 2kpc Luminosity,FUV 2kpc Luminosity Error,FUV 2kpc Surface Brightness,FUV 2kpc Surface Brightness Error,FUV AB Magnitude
b'SN1993H',0.02421,0.0010014861494619008,137.0,3.222609914111176e+37,1.3628117426365739e+37,8.217009903526266e+36,3.5400819432642016e+36,16.470738006171697,137.0,7.111965823901425e+37,4.335899050030661e+37,1.8134088569840558e+37,1.1155941065367764e+37,15.249540773293969
b'SN1993O',0.0515,0.00100251714871319,215.0,1.3261535652191016e+37,2.012104387206378e+37,1.5118221320912242e+37,2.2945475771596915e+37,13.823599850734167,106.0,-2.958093401996159e+37,5.008226869206611e+37,-3.3722422434478413e+37,5.710880301090603e+37,nan
b'SN1993ac',0.0443,0.0010021730756032236,224.0,2.0209752976716646e+37,1.7348558064035013e+37,1.7102037931651622e+37,1.470079770306479e+37,14.61948786954568,96.0,9.037444345814807e+36,6.396534908180627e+37,7.647729103140453e+36,5.413028760566819e+37,11.665047407949844
b'SN1994M',0.02316,0.0010014613168086047,6402.6,0.0,0.0,0.0,0.0,-inf,1906.35,0.0,0.0,0.0,0.0,-inf
b'SN1994T',0.03466,0.0010017932416741613,136.0,5.248788364777094e+36,1.382080401935873e+37,2.730504498283854e+36,7.191511574315259e+36,13.704128668514052,136.0,-4.5405070975035024e+36,2.5196062420289964e+37,-2.3620451412027148e+36,1.3108099063192764e+37,nan
b'SN1995ac',0.0499,0.0010024362291258355,1152.7,5.9357471562466095e+37,1.0664015078211792e+37,6.357372480901608e+37,1.1697476277982306e+37,15.521872039877405,210.05,4.750814979275482e+37,5.591757662297422e+37,5.088272734009001e+37,5.992360233931399e+37,13.19945181163654
b'SN1996bl',0.0348,0.001001798095158912,220.95,0.0,0.0,0.0,0.0,-inf,220.95,0.0,0.0,0.0,0.0,-inf
b'SN1997dg',0.0341585,0.0010017760161764079,1210.7,6.60893742938296e+37,8.036222167297082e+36,3.3400405186096807e+37,4.5028012487497126e+36,16.486772230172864,362.0,2.3424506383220777e+38,5.562011868984642e+37,1.1838332755359922e+38,2.8941890886395043e+37,15.779967211250517
b'SN1998ab',0.02725,0.0010015642495436949,305.0,0.0,0.0,0.0,0.0,-inf,108.0,0.0,0.0,0.0,0.0,-inf
b'SN1998dx',0.054221,0.0010026606107277898,153.05,3.578616075868357e+36,2.0671126016313608e+37,4.5166539526187225e+36,2.6090027217042046e+37,12.285304079392478,153.05,-2.3595365017537716e+37,3.9268083422785524e+37,-2.9780254827722293e+37,4.957309748154061e+37,nan
b'SN1998eg',0.02476,0.0010014995961377241,1680.0,1.352217961518089e+37,3.2989535111156367e+36,3.6054550314834537e+36,9.262088025441887e+35,15.478151365673744,160.0,6.4999565396493495e+37,3.70972447112627e+37,1.7331008518769054e+37,9.989142701011493e+36,15.102158708590444
b'SN1999aw',0.0391,0.0010019566824289484,2099.05,2.4535806796636694e+36,3.693041031268456e+36,1.621179601531096e+36,2.441530844855777e+36,12.609566062455382,192.0,-1.034522017049182e+37,1.656046163330392e+37,-6.83550374061813e+36,1.0947674455642322e+37,nan
b'SN1999cc',0.0294453,0.0010016263820188218,137.0,1.993643810524467e+38,2.9829307451581764e+37,7.5024110017261805e+37,1.231758356614994e+37,18.015648234397485,137.0,1.6599832293671256e+38,6.400301241930882e+37,6.246791115313944e+37,2.4452706413390917e+37,15.736136525330856
b'SN1999ef',0.03914,0.001001958244171894,112.0,4.223014561083431e+37,2.3676559143141504e+37,2.795978520111373e+37,1.5739911012872796e+37,15.696836901845206,112.0,4.158564572677244e+37,5.662506753683792e+37,2.7533073948763953e+37,3.7516429223841267e+37,13.59948703994817
b'SN2000ca',0.02362,0.0010014720604510266,3362.1,2.332118746009151e+38,2.0684229994854653e+37,5.661596056680552e+37,6.930105112046291e+36,18.674141182490942,1704.0,2.531780888493862e+38,2.851823826564635e+37,6.146308252615789e+37,8.649644755632737e+36,16.68267778747583
b'SN2000cf',0.0353,0.0010018155885511187,204.05,2.0348937050978108e+38,2.9042331157770737e+37,1.0977300710674305e+38,1.6842653820202859e+37,17.63456756508618,121.0,3.1686645089107443e+38,1.1086791006990585e+38,1.7093464429328726e+38,6.057788203086824e+37,16.03475185479681
b'SN2001ah',0.057756,0.0010028579854595688,1741.1,9.504980990883145e+34,1.0267114787060285e+36,1.359026079529176e+35,1.4680036744378143e+36,8.203188195661099,,,,,,
b'SN2001az',0.040701,0.001002020436350988,213.05,6.936369166440749e+37,2.108980489616254e+37,4.962639748170334e+37,1.5281821529976127e+37,16.148178158655213,,,,,,
b'SN2001ba',0.02942,0.0010016256385816133,1518.15,4.2300495910375054e+37,6.025374463283806e+36,1.5891208639319229e+37,2.5059050942680332e+36,16.334300858992357,107.0,1.0365813020426626e+38,6.845079237337507e+37,3.8941694152424616e+37,2.5849799078180012e+37,15.226793600382926
b'SN2001gb',0.025731,0.0010015240725139984,4221.65,2.8960419215219098e+38,2.3511631142764273e+37,8.335773166764647e+37,9.350535043641358e+36,18.719920992164607,103.0,4.889989651072779e+38,1.1036201131962362e+38,1.4075018809723714e+38,3.358231848607462e+37,17.208026693454965
b'SN2001ic',0.044241,0.0010021704693040125,208.0,1.3676330476878107e+37,1.5913292612749006e+37,1.154277431434241e+37,1.3440741066915437e+37,14.19849761467235,208.0,-1.6681332367851034e+37,2.294830609330956e+37,-1.4078985230005403e+37,1.9378584337375776e+37,nan
b'SN2001ie',0.0278517,0.0010015808008627734,103.05,4.2348601572193757e+36,1.0243542091983572e+37,1.4268131104933583e+36,3.452770682393086e+36,13.95705424486211,107.0,-6.921687371088043e+36,1.2820199654967812e+37,-2.3320614899098137e+36,4.322609538919038e+36,nan
b'SN2002G',0.033737,0.0010017617324658717,173.05,8.450822996906496e+37,1.9480035762653016e+37,4.166917771986257e+37,9.914260913109482e+36,16.781336293343326,173.05,5.213687991119588e+37,3.870298714389621e+37,2.5707566181116543e+37,1.9143674019036914e+37,14.17629933542399
b'SN2002bf',0.024197,0.0010014858352832678,1696.0,1.7822833778904252e+38,1.609865408496006e+37,4.539612313746754e+37,5.548467353658294e+36,18.328848270403604,112.0,8.270018573817211e+37,4.143851367779136e+37,2.1064370917856976e+37,1.0696264417461488e+37,15.414520552607438
b'SN2002de',0.0279812,0.0010015844103306844,147.0,0.0,0.0,0.0,0.0,-inf,147.0,0.0,0.0,0.0,0.0,-inf
b'SN2002hd',0.035001,0.0010018050975439407,1903.0,1.177123853549849e+38,9.877724860795188e+36,6.243737396621281e+37,6.326904391104088e+36,17.059224279993117,112.0,7.274299559649251e+37,6.043435097018933e+37,3.8584568699239553e+37,3.2130618042008943e+37,14.455994794524711
b'SN2002he',0.024564,0.001001494769611916,110.0,1.3751170777314928e+37,1.1516338329091843e+37,3.6090023140754335e+36,3.0366091369261334e+36,15.51396391376807,110.0,7.421668646956597e+36,2.3854666746756435e+37,1.9478210077467668e+36,6.262663131190803e+36,12.763716587926758
b'SN2002hu',0.0262232,0.0010015368389042236,128.0,3.1738017915837174e+37,1.4572985449138867e+37,9.486049338155926e+36,4.4148399299796684e+36,16.277405310997565,128.0,3.0530140600808845e+37,3.589683969970372e+37,9.125031714585914e+36,1.0751421460708748e+37,14.154625781235717
b'SN2003D',0.022109,0.0010014375623797146,168.0,4.792564473852602e+37,1.1838661054144425e+37,1.0200491147964691e+37,2.682305570917156e+36,17.102229947282133,168.0,1.0371630439807557e+37,2.20588763334168e+37,2.207497156656341e+36,4.699225814039391e+36,13.359775582906508
b'SN2003U',0.0265903,0.0010015465179002495,4251.05,0.0,0.0,0.0,0.0,-inf,2653.05,1.735918737972091e+38,1.908231434782967e+37,5.333843957613008e+37,7.094759061878833e+36,16.01083726665043
b'SN2003ch',0.0268379,0.0010015531220761255,204.0,5.350726263365185e+36,1.0589381754188763e+37,1.6746620246564634e+36,3.3165767993168486e+36,14.293165185128592,204.0,2.0997273015388863e+35,2.484155333018548e+37,6.571694011141708e+34,7.774872443361284e+36,8.696888550814531
b'SN2003cq',0.0297197,0.0010016344862434174,1662.0,1.1562300238006802e+38,1.0014474699088677e+37,4.432024454932918e+37,4.852256135552181e+36,17.40354963192469,81.05,1.7019632376884507e+38,8.276218785159523e+37,6.523911795714071e+37,3.202354397913712e+37,15.742662425181905
b'SN2003fa',0.006004,0.0010012114818958202,128.0,2.2338375865815632e+36,2.338652056540505e+36,3.530885659414503e+34,3.8791244495316953e+34,16.63097919481264,128.0,2.1924949684837514e+36,5.859967614108743e+36,3.4655380001929566e+34,9.334123902514498e+34,14.53004468473109
b'SN2003hu',0.075,0.0010039986969433898,1623.15,2.0189867161229484e+38,2.145148763741156e+37,4.8303581428149215e+38,5.287329231806276e+37,15.927105552544843,295.05,3.3092502610803235e+38,1.598859796747495e+38,7.917270488989354e+38,3.830890537179332e+38,14.38294388995265
b'SN2003ic',0.055672,0.0010027401233859271,28993.15,2.9266797569949986e+37,2.1726371836310815e+36,3.891659115516772e+37,3.203612663821252e+36,14.50732292214151,2511.1,3.531491716674572e+37,1.5084715666768974e+37,4.69588853981063e+37,2.012787014678098e+37,12.630628354468897
b'SN2003it',0.025121,0.0010015085861364468,1613.0,6.684888901941284e+37,7.029748622822309e+36,1.8344741853779317e+37,2.4160978580264063e+36,17.18124520360636,1613.0,1.0202537288479952e+38,1.5923369951468345e+37,2.7997909248180688e+37,4.9013583233672366e+36,15.55962815714112
b'SN2003iv',0.034307,0.0010017810907144457,301.0,2.3658041244776237e+37,1.1994555920426496e+37,1.2059753178729796e+37,6.154082945450911e+36,15.361729451934057,296.0,1.5177495180275697e+37,2.9571749795639737e+37,7.73677092924593e+36,1.5080951050927438e+37,12.79913071125406
b'SN2004L',0.032309,0.0010017146574474313,385.1,2.794088833249289e+38,2.7022268052551066e+37,1.2643367930745993e+38,1.449521143846603e+37,18.17592443590958,164.1,4.2506963627318096e+38,1.0041225581924008e+38,1.9234577453789575e+38,4.695485673214536e+37,16.550822082016733
b'SN2004as',0.0305583,0.0010016597192474672,106.0,1.3903816041163133e+38,2.8381782672287654e+37,5.632506562799631e+37,1.2068438699087017e+37,17.54198186933381,106.0,3.474899455058521e+38,1.0472511138768382e+38,1.4076994350141472e+38,4.340367434934055e+37,16.455850405771816
b'SN2005eq',0.028977,0.001001612724556265,1693.05,3.290805621526017e+37,4.816203120993308e+36,1.1995532863965869e+37,1.9393437154222748e+36,16.095362850424845,1693.05,3.017509816967163e+37,1.123147389412165e+37,1.099932428095953e+37,4.163195472112582e+36,13.920576965045552
b'SN2005eu',0.03412,0.001001774704144612,11443.0,1.203890099204378e+38,7.815567570471733e+36,6.070643831692674e+37,5.296108105444668e+36,17.140421540362706,4480.2,1.7256683310751525e+38,1.738599726870528e+37,8.701722704183752e+37,1.012805878320863e+37,15.450695717866608
b'SN2005hc',0.045915,0.0010022457636173997,7823.25,8.445238625811375e+37,5.50565205030774e+36,7.671670437238494e+37,6.000282706214045e+36,16.091781721528303,3269.9,1.4331392520216606e+38,1.9765181231740748e+37,1.3018663556264357e+38,1.8815429638985998e+37,14.585320847328923
b'SN2005hf',0.04311,0.0010021211780837807,190.0,3.4846070066617993e+37,1.9316792134197938e+37,2.793945321334633e+37,1.55414774864554e+37,15.272002624013401,190.0,4.8704910362320233e+36,3.3375794247770946e+37,3.9051421343260394e+36,2.676119554401666e+37,11.054897942872216
b'SN2005hj',0.057385,0.0010028366874466773,3288.1,5.27328086937697e+37,7.026869703843995e+36,7.444437512320828e+37,1.0247178468580314e+37,15.078087967025766,3288.1,6.904063138598048e+37,1.789223149292825e+37,9.74665827395673e+37,2.548184826031425e+37,13.289995555620136
b'SN2005iq',0.034044,0.0010017721184980269,112.0,9.627463676909021e+37,2.630159883803285e+37,4.833229662869249e+37,1.3502495834352208e+37,16.902699665448896,112.0,1.6349314164947555e+38,7.9097798619906145e+37,8.207768197465996e+37,3.9997454653885766e+37,15.397016753316837
b'SN2005ir',0.076023,0.0010040756345978247,2410.1,3.467491304419955e+38,2.387001842259229e+37,8.519780281690298e+38,6.268207310769827e+37,16.483327040884475,2410.1,6.2920553757334255e+38,7.602033353416676e+37,1.5459859770418225e+39,1.910490567272943e+38,15.049617891366399
b'SN2005lz',0.040001,0.0010019922472080433,105.0,-1.3880738128297354e+37,1.9794963096943838e+37,-9.59530676866244e+36,1.3691912509348683e+37,nan,,,,,,
b'SN2005mc',0.026006,0.0010015311755008052,1616.0,4.325622105210877e+37,5.311076774156311e+36,1.2716604499846362e+37,1.8401996863013232e+36,16.631994363094165,1616.0,2.0511334076470863e+37,8.18983183739498e+36,6.029988678402724e+36,2.4515612682719396e+36,13.741205655476616
b'SN2005ms',0.0270878,0.0010015598496210122,2805.15,4.650924639975473e+36,2.2868768612826612e+36,1.482711449961381e+36,7.371570487981016e+35,14.1204459537156,216.0,-9.958536765120313e+36,1.0538739989809157e+37,-3.174774400684146e+36,3.367838590916021e+36,nan
b'SN2006S',0.0340003,0.0010017706343590407,213.0,0.0,0.0,0.0,0.0,-inf,213.0,0.0,0.0,0.0,0.0,-inf
b'SN2006ac',0.023106,0.0010014600694486149,213.0,2.8245937799605675e+38,3.150289899429499e+37,6.563439047068862e+37,9.253623816692176e+36,18.930777090134335,213.0,4.551430217519002e+38,7.363465419382787e+37,1.057604637580501e+38,1.9389752436311632e+37,17.368104777114706
b'SN2006ak',0.0381,0.001001918157068742,959.0,8.463435573275925e+37,1.026364261530586e+37,5.312090201032335e+37,7.012432736516168e+36,16.511802802356183,112.0,5.162849664044893e+37,5.438122712742942e+37,3.2404716586222455e+37,3.4174284294151424e+37,13.89450773046486
b'SN2006al',0.067849,0.0010034898456212822,1575.0,-3.369819084040444e+36,7.358740422916673e+36,-6.619328288655245e+36,1.445604376780139e+37,nan,1575.0,1.4647627326529282e+37,1.9305314015853176e+37,2.8772302460796205e+37,3.7930647078425477e+37,11.226627498984115
b'SN2006an',0.0640618,0.001003240897134514,1679.4,6.97250604886181e+36,7.149186343611446e+36,1.2230526303087118e+37,1.2546125410454994e+37,12.631926269513464,93.0,-7.993639493492954e+36,3.488049420571392e+37,-1.4021704305085674e+37,6.118567348151351e+37,nan
b'SN2006az',0.0275947,0.0010015736872203236,187.0,8.61738927715767e+37,1.6345112712409247e+37,2.850365465732672e+37,5.784412572181593e+36,17.248946809680795,187.0,7.391499591797422e+37,3.516655869811495e+37,2.4448791274038473e+37,1.1765010263991615e+37,15.001686884628477
b'SN2006bd',0.02572,0.001001523789964085,1661.05,1.4228919354579456e+37,3.128022265354262e+36,4.0920756154847295e+36,9.53766734319789e+35,15.449285242632316,1661.05,4.7527240797030327e+36,5.421490781183283e+36,1.3668294709549076e+36,1.5627479229016728e+36,12.178059914499144
b'SN2006bt',0.03193,0.00100170250492051,205.0,-5.96650083103103e+36,8.370614089604621e+36,-2.6373354136340168e+36,3.7036574628760216e+36,nan,77.0,-1.4668841314277536e+37,2.529716191871903e+37,-6.483977086522373e+36,1.1189242677070654e+37,nan
b'SN2006bu',0.084001,0.0010047111781328127,2600.15,7.955309775552208e+36,8.189162264083423e+36,2.377840014567108e+37,2.4483743723789686e+37,12.156109382534432,1675.0,-1.518007549068922e+36,1.5410616913044494e+37,-4.5373206002408267e+36,4.606241676834713e+37,nan
b'SN2006bw',0.030002,0.0010016429021702418,1696.0,2.583691072727042e+36,3.081750380333921e+36,1.009151322601928e+36,1.2055457398805959e+36,13.255550745844516,1696.0,-2.3039649903107655e+36,5.983348024208959e+36,-8.998944733538119e+35,2.3377689847171846e+36,nan
b'SN2006bz',0.027906,0.0010015823122939145,25656.55,9.842858666780837e+36,1.0345388861547872e+36,3.329129586290811e+36,4.229048362365721e+35,14.868441386284756,18620.45,4.9317748100615813e+36,1.7196323081320173e+36,1.6680639221724722e+36,5.9367749425402736e+35,12.03749432028219
b'SN2006cc',0.032529,0.0010017217773938152,340.0,0.0,0.0,0.0,0.0,-inf,904.95,8.741148688929585e+37,2.113748508222092e+37,4.0090686809332285e+37,9.999722723196131e+36,14.818499365253984
b'SN2006cf',0.0422998,0.001002086651215385,1533.05,2.3612418999530186e+38,1.6853647002799833e+37,1.8233948890826423e+38,1.5576579115372905e+37,17.391966197607594,104.0,3.405640702845502e+38,1.440811618283509e+38,2.62989905936527e+38,1.1194480651067775e+38,15.708960025814815
b'SN2006cg',0.028063,0.001001586698909797,1391.55,1.5958716475603508e+37,3.590447488731747e+36,5.458213969742284e+36,1.2876102666567404e+36,15.380693654995884,1909.95,1.2462830514080695e+37,6.214181326203279e+36,4.262548038777234e+36,2.146783781586743e+36,13.03158844143435
b'SN2006cj',0.06752,0.0010034676546177383,2568.3,0.0,0.0,0.0,0.0,-inf,1690.05,0.0,0.0,0.0,0.0,-inf
b'SN2006cq',0.0521626,0.0010025514053168469,1660.05,6.686133911679081e+37,9.152953752294293e+36,7.817322073937452e+37,1.110599748594978e+37,15.55124493453772,1660.05,7.983723715775124e+37,2.3227719567200603e+37,9.334443560355424e+37,2.7388069592989885e+37,13.66316896842238
b'SN2006cs',0.023676,0.001001473382791587,1696.0,1.0043876402527262e+37,2.522392768206766e+36,2.4498293476089727e+36,6.4887133155586116e+35,15.254283506404061,106.0,2.430230937016016e+37,2.659823239550283e+37,5.927642707223097e+36,6.506799705469429e+36,14.132996931661289
b'SN2006en',0.0311307,0.0010016773452297474,1706.0,0.0,0.0,0.0,0.0,-inf,267.0,0.0,0.0,0.0,0.0,-inf
b'SN2006gj',0.02829,0.0010015930848223866,224.0,1.4851794076640105e+37,1.0292417015777017e+37,5.161620028736641e+36,3.59543953600995e+36,15.284780352993195,224.0,2.8979886070386154e+37,3.1426879823312627e+37,1.0071723294809586e+37,1.094512721000843e+37,13.929922701654323
b'SN2006gt',0.044771,0.0010021940061210827,3007.05,0.0,0.0,0.0,0.0,-inf,3007.05,0.0,0.0,0.0,0.0,-inf
b'SN2006mo',0.036999,0.0010018768933681545,1704.0,3.122818915844528e+37,5.544978835377781e+36,1.8492954429579672e+37,3.4306318634466324e+36,15.494755467166502,1616.0,1.814406790099291e+37,1.252437219838738e+37,1.0744696695598158e+37,7.439203547956636e+36,12.824573081731609
b'SN2006nz',0.03816,0.0010019204404861817,11718.1,3.729788535338971e+37,2.910319929156793e+36,2.348325265451761e+37,2.2028960056417968e+36,15.618632860639204,4684.2,3.106035287878538e+37,7.517495507813133e+36,1.9556017915763723e+37,4.841412308886928e+36,13.339286261840094
b'SN2006oa',0.062573,0.00100314693031132,3112.0,0.0,0.0,0.0,0.0,-inf,3112.0,0.0,0.0,0.0,0.0,-inf
b'SN2006ob',0.058596,0.0010029067128502155,3279.65,5.819055875226272e+37,7.309162525460882e+36,8.56067403284843e+37,1.1134973610818846e+37,15.137770389110171,3279.65,8.289795222121976e+37,1.9295296847128292e+37,1.2195489477559122e+38,2.868361515118821e+37,13.441346538854843
b'SN2006on',0.071915,0.0010037729577394604,3934.95,1.730397211267185e+37,6.800019212856577e+36,3.8116371263242767e+37,1.5015295584729262e+37,13.355577316896033,3934.95,-3.4532575923207423e+36,1.6004793241289838e+37,-7.606672479558531e+36,3.525522045502223e+37,nan
b'SN2006os',0.032081,0.001001707329525458,110.0,5.209128947787672e+37,2.272043662909515e+37,2.3242344134751405e+37,1.0239448729679914e+37,16.36798570476414,110.0,5.18784936342809e+37,5.988947087559002e+37,2.3147397853388965e+37,2.676029533591614e+37,14.282889289148141
b'SN2006te',0.031592,0.0010016917878908785,1704.0,1.316777539220801e+38,1.0967071955668532e+37,5.69874114152995e+37,5.950339367213939e+36,17.409003794155886,,,,,,
b'SN2007F',0.0240137,0.0010014814233183333,205.05,2.209175088629904e+38,2.617890063027052e+37,5.5424532730861505e+37,8.017729562441628e+36,18.578795647830404,112.0,3.442540586720701e+38,8.33442253838387e+37,8.636762400953588e+37,2.2103535507907037e+37,16.979765939185892
b'SN2007O',0.036212,0.0010018481383962466,183.0,4.918741054792523e+38,5.101383950056797e+37,2.791187740930733e+38,3.275270476072658e+37,18.5359829870968,183.0,6.3837268972227644e+38,1.3038890472408435e+38,3.622508291957555e+38,7.661574514810298e+37,16.738381796955935
b'SN2007R',0.0304169,0.0010016554154346866,1687.7,3.156584259308105e+38,2.333889417338819e+37,1.2670202081593946e+38,1.2508720968628598e+37,18.442492110553893,211.05,3.793458262828044e+38,8.029853559147262e+37,1.5226548328749129e+38,3.373527292302914e+37,16.561384881325758
b'SN2007ae',0.0583448,0.0010028920675481806,1675.05,5.286658543909998e+37,9.924299128029392e+36,7.711764648760073e+37,1.4711364597061707e+37,15.043314882684832,266.0,4.270587119064225e+37,6.208116805983041e+37,6.229598999199199e+37,9.058382464428178e+37,12.730928656468798
b'SN2007ar',0.052933,0.0010025917843035743,251.15,3.3258861527827404e+37,1.8544227530650905e+37,4.0029119691083555e+37,2.2369385470202875e+37,14.76002200784452,251.15,-9.158872165213159e+36,1.8625819427614812e+37,-1.1023275400750022e+37,2.2421136254076503e+37,nan
b'SN2007ba',0.03805,0.0010019162569616408,2270.0,7.815566371948809e+37,7.241427691121589e+36,4.892695047433524e+37,5.2037196841616544e+36,16.428269441475745,2857.1,6.541432339131261e+37,1.3090646344948592e+37,4.0950626078310073e+37,8.469421655685355e+36,14.154398398378685
b'SN2007bd',0.03044,0.001001656117169972,109.0,6.165648925300457e+37,2.0875256701224604e+37,2.4785628860253893e+37,8.54674966867273e+36,16.66770945749469,109.0,-1.4683015492391384e+37,2.0266995885606577e+37,-5.902505591105099e+36,8.156372480821348e+36,nan
b'SN2007cg',0.033196,0.0010017436587670644,208.0,0.0,0.0,0.0,0.0,-inf,96.0,0.0,0.0,0.0,0.0,-inf
b'SN2008af',0.033507,0.0010017540129757527,1620.0,1.30292541646972e+36,3.2274196926859146e+36,6.3377858695260685e+35,1.570355884371884e+36,12.266615660195512,73.0,2.644181792073759e+36,3.6898206708900967e+37,1.2862024016439662e+36,1.7948460089455798e+37,10.954393007645347
b'SN2008bf',0.0231404,0.0010014608637266783,105.0,8.377548830792152e+36,1.0175391518871547e+37,1.9524417605259074e+36,2.377393751307851e+36,15.107892347875117,105.0,-1.1680506317466885e+37,1.3945419478442294e+37,-2.7222172951694537e+36,3.258513702950182e+36,nan
